company,return,Precision_UP,Precision_DOWN,PrecisionIgnoreEqual_UP,PrecisionIgnoreEqual_DOWN,Accuracy,AccuracyIngoreEqual,ImprovedPrecision_UP,ImprovedPrecision_DOWN,ImprovedPrecisionIgnoreEqual_UP,ImprovedPrecisionIgnoreEqual_DOWN,ImprovedAccuracy,ImprovedAccuracyIngoreEqual
AAPL,0.07760,0.42821,0.44133,0.49535,0.50525,0.41231,0.49921,0.50680,0.50579,0.50680,0.50579,0.45787,0.50641
ACOR,1.27958,0.33135,0.40132,0.48511,0.53624,0.37687,0.51260,0.47635,0.57991,0.47635,0.57991,0.51973,0.53380
ALSK,0.39579,0.02290,0.02982,0.51830,0.56795,0.07871,0.55839,0.48979,0.56133,0.48979,0.56133,0.51125,0.54922
AUDC,2.10812,0.06547,0.07518,0.49877,0.51177,0.12107,0.50815,0.44503,0.51451,0.44503,0.51451,0.46784,0.49521
CERN,0.59676,0.35547,0.41208,0.49211,0.49792,0.40318,0.49686,0.50164,0.51415,0.50164,0.51415,0.48719,0.51199
CGEN,0.53166,0.12066,0.13153,0.45715,0.57565,0.16386,0.49157,0.45118,0.59253,0.45118,0.59253,0.47084,0.49334
CMPR,0.90383,0.23598,0.44537,0.37453,0.70297,0.24866,0.38381,0.34768,0.70788,0.34768,0.70788,0.35421,0.35822
CSCO,0.10490,0.28992,0.30351,0.51691,0.49395,0.31595,0.49939,0.52716,0.50022,0.52716,0.50022,0.48798,0.50631
CSTE,1.54918,0.32595,0.41093,0.46069,0.55453,0.36967,0.49538,0.45176,0.61162,0.45176,0.61162,0.49204,0.51244
CTSH,0.35977,0.39540,0.40399,0.51002,0.50660,0.40047,0.50730,0.49817,0.50827,0.49817,0.50827,0.46841,0.50632
EA,0.18167,0.43614,0.43307,0.50061,0.50709,0.43006,0.50529,0.48944,0.51708,0.48944,0.51708,0.48326,0.50953
EBAY,0.35786,0.28115,0.30516,0.49981,0.51775,0.31603,0.50970,0.53854,0.54261,0.53854,0.54261,0.50259,0.54086
ELNK,0.93195,0.12687,0.11192,0.54092,0.56934,0.14604,0.55057,0.56509,0.61367,0.56509,0.61367,0.57070,0.58174
EYES,-0.20328,0.12437,0.15440,0.44612,0.55537,0.18970,0.52137,0.45795,0.55733,0.45795,0.55733,0.49483,0.52763
FCS,0.06635,0.02922,0.03008,0.52372,0.57872,0.07268,0.54046,0.54334,0.58095,0.54334,0.58095,0.53758,0.55490
GNCMA,1.11529,0.23432,0.29957,0.45431,0.58971,0.25670,0.47329,0.46409,0.63539,0.46409,0.63539,0.47566,0.48809
GOOG,0.13511,0.43790,0.48155,0.47681,0.52608,0.45557,0.50361,0.40262,0.61110,0.40262,0.61110,0.49097,0.51569
HEAR,0.89581,0.03856,0.04328,0.45771,0.55185,0.07515,0.53134,0.49068,0.55334,0.49068,0.55334,0.52274,0.53921
IBKR,0.66755,0.31675,0.38073,0.49950,0.52333,0.37472,0.51756,0.51401,0.55600,0.51401,0.55600,0.52275,0.54591
INTC,0.05590,0.24650,0.33319,0.48498,0.50135,0.33844,0.49907,0.52676,0.50739,0.52676,0.50739,0.50115,0.50971
ISSC,-0.02495,0.04238,0.02970,0.42322,0.48794,0.08761,0.43005,0.43816,0.49612,0.43816,0.49612,0.43243,0.44409
KE,1.25909,0.12216,0.13718,0.42720,0.59494,0.15828,0.46962,0.43073,0.59370,0.43073,0.59370,0.46270,0.47222
LE,1.89380,0.23327,0.36877,0.42733,0.62164,0.26375,0.46598,0.41240,0.65683,0.41240,0.65683,0.45266,0.46074
MSFT,0.01850,0.37716,0.39337,0.50762,0.50783,0.39850,0.50775,0.51051,0.49608,0.51051,0.49608,0.48070,0.50163
NK,1.24927,0.21508,0.29190,0.46104,0.56452,0.27236,0.52022,0.44567,0.58539,0.44567,0.58539,0.51327,0.52713
NLST,0.16127,0.04217,0.04665,0.45115,0.53322,0.32939,0.48680,0.45042,0.52769,0.45042,0.52769,0.31569,0.48850
OHGI,0.70827,0.02977,0.04924,0.40379,0.57380,0.09542,0.49892,0.42047,0.55498,0.42047,0.55498,0.47426,0.49567
ON,0.57163,0.17207,0.20564,0.51212,0.52552,0.22404,0.51925,0.55210,0.54868,0.55210,0.54868,0.52791,0.55019
OPTT,1.14071,0.14859,0.22982,0.41264,0.58971,0.23301,0.52942,0.41502,0.57499,0.41502,0.57499,0.48827,0.51878
QCOM,-0.05986,0.40177,0.36425,0.50545,0.49066,0.39087,0.49826,0.50119,0.48682,0.50119,0.48682,0.47349,0.49448
SNDK,0.01489,0.21904,0.32412,0.39884,0.54777,0.32984,0.48470,0.48554,0.57758,0.48554,0.57758,0.50815,0.53827
SODA,1.50282,0.27470,0.26032,0.45103,0.56736,0.28186,0.45597,0.43276,0.65435,0.43276,0.65435,0.43444,0.44367
SP,0.50093,0.14262,0.30367,0.37168,0.63226,0.26963,0.55348,0.38523,0.63833,0.38523,0.63833,0.53513,0.56421
STX,-0.04320,0.34648,0.36661,0.49897,0.49451,0.37517,0.49533,0.48887,0.49179,0.48887,0.49179,0.47285,0.49128
TECH,1957.19439,0.25643,0.45872,0.40172,0.66709,0.32581,0.48223,0.38596,0.71080,0.38596,0.71080,0.47190,0.48697
TXN,0.18495,0.38648,0.39662,0.50106,0.49559,0.40283,0.49642,0.48818,0.49692,0.48818,0.49692,0.48156,0.49563
VA,0.11116,0.15241,0.16427,0.50347,0.52825,0.20827,0.51475,0.51359,0.54927,0.51359,0.54927,0.48608,0.52991
VOD,0.31084,0.29457,0.31287,0.51680,0.49202,0.31927,0.50249,0.52957,0.51100,0.52957,0.51100,0.50073,0.51854
YHOO,-0.12762,0.34679,0.36366,0.49667,0.50325,0.37216,0.50152,0.47709,0.49692,0.47709,0.49692,0.47607,0.49171
Z,0.77091,0.37996,0.37370,0.49967,0.51679,0.38458,0.50290,0.49779,0.57449,0.49779,0.57449,0.49539,0.51192